user_id,first_name,last_name,email,country,signup_at
1,Taylor,Martin,taylor.martin4516@example.com,DE,2026-01-12 21:19:10
2,Jordan,Fournier,jordan.fournier6922@example.com,ES,2026-01-02 13:01:46
3,Riley,Vincent,riley.vincent6883@example.com,NL,2026-01-11 16:49:54
4,Jamie,Garcia,jamie.garcia5584@example.com,FR,2026-01-14 11:44:36
5,Taylor,Michel,taylor.michel5645@example.com,PT,2026-01-30 07:23:30
6,Emerson,Thomas,emerson.thomas9054@example.com,NL,2026-01-15 05:34:38
7,Jordan,Bernard,jordan.bernard3743@example.com,NL,2026-01-15 01:09:41
8,Hayden,Michel,hayden.michel2674@example.com,IT,2026-01-18 23:17:31
9,Jordan,Morel,jordan.morel2813@example.com,FR,2026-01-26 22:19:05
10,Logan,Dubois,logan.dubois5323@example.com,FR,2026-01-03 17:10:20
11,Riley,Fournier,riley.fournier5165@example.com,BE,2026-01-11 07:43:40
12,Avery,Robert,avery.robert4050@example.com,PT,2026-01-28 06:02:28
13,Drew,Dubois,drew.dubois2276@example.com,NL,2026-01-25 17:38:28
14,Jamie,Garcia,jamie.garcia9781@example.com,PT,2026-01-04 02:00:54
15,Logan,Martin,logan.martin1886@example.com,FR,2026-01-27 01:36:56
16,Jamie,David,jamie.david63@example.com,ES,2026-01-13 18:52:13
17,Cameron,Roux,cameron.roux9987@example.com,ES,2026-01-10 15:44:53
18,Kai,Martin,kai.martin9823@example.com,FR,2026-01-16 17:40:09
19,Cameron,Dubois,cameron.dubois959@example.com,FR,2026-01-12 16:38:08
20,Jordan,Vincent,jordan.vincent2070@example.com,FR,2026-01-07 05:35:12
21,Quinn,Garcia,quinn.garcia3480@example.com,IT,2026-01-27 04:19:31
22,Drew,David,drew.david8489@example.com,FR,2026-01-22 22:01:10
23,Morgan,Fournier,morgan.fournier3618@example.com,FR,2026-01-01 08:22:40
24,Charlie,Thomas,charlie.thomas8433@example.com,ES,2026-01-12 13:17:43
25,Noah,Fournier,noah.fournier7754@example.com,FR,2026-01-12 19:06:44
26,Finley,Michel,finley.michel6949@example.com,DE,2026-01-20 22:58:07
27,Taylor,Bernard,taylor.bernard6606@example.com,FR,2026-01-17 11:18:58
28,Casey,Garcia,casey.garcia3016@example.com,FR,2026-01-14 12:31:43
29,Logan,Petit,logan.petit838@example.com,BE,2026-01-27 05:49:50
30,Jamie,Garcia,jamie.garcia7966@example.com,FR,2026-01-24 08:49:23
31,Emerson,Moreau,emerson.moreau7464@example.com,CH,2026-01-14 20:20:21
32,Jules,Robert,jules.robert3121@example.com,IT,2026-01-15 09:41:22
33,Charlie,Bernard,charlie.bernard831@example.com,ES,2026-01-29 08:36:58
34,Kai,Thomas,kai.thomas3054@example.com,FR,2026-01-04 07:49:59
35,Noah,Dubois,noah.dubois9495@example.com,DE,2026-01-29 20:39:54
36,Charlie,Moreau,charlie.moreau3356@example.com,DE,2026-01-16 06:03:02
37,Charlie,Thomas,charlie.thomas162@example.com,FR,2026-01-23 05:56:28
38,Kai,Moreau,kai.moreau2180@example.com,FR,2026-01-17 22:37:29
39,Logan,Laurent,logan.laurent8676@example.com,GB,2026-01-01 09:06:52
40,Casey,Moreau,casey.moreau1901@example.com,FR,2026-01-06 04:42:21
41,Charlie,Durand,charlie.durand4335@example.com,NL,2026-01-25 12:50:39
42,Finley,Moreau,finley.moreau732@example.com,GB,2026-01-01 04:07:51
43,Hayden,Vincent,hayden.vincent7017@example.com,BE,
44,Logan,Bernard,logan.bernard6059@example.com,FR,2026-01-29 06:40:22
45,Sam,Michel,sam.michel3451@example.com,ES,2026-01-13 02:43:23
46,Quinn,Robert,quinn.robert3888@example.com,BE,2026-01-08 21:19:41
47,Charlie,Garcia,charlie.garcia4075@example.com,PT,2026-01-13 22:51:04
48,Jules,Dubois,jules.dubois3279@example.com,BE,2026-01-23 08:17:31
49,Riley,Lefevre,riley.lefevre5388@example.com,FR,2026-01-14 12:35:45
50,Emerson,Vincent,emerson.vincent5435@example.com,FR,2026-01-02 08:09:25
51,Avery,Bernard,avery.bernard1786@example.com,FR,2026-01-29 23:03:21
52,Kai,Petit,kai.petit6321@example.com,PT,2026-01-28 23:46:25
53,Logan,Durand,logan.durand5977@example.com,FR,2026-01-21 22:29:52
54,Taylor,Laurent,taylor.laurent8318@example.com,DE,2026-01-16 00:20:33
55,Riley,Garcia,riley.garcia6221@example.com,ES,2026-01-09 10:45:23
56,Cameron,Durand,cameron.durand7053@example.com,PT,2026-01-29 03:43:52
57,Kai,Bertrand,kai.bertrand2790@example.com,DE,2026-01-05 02:47:38
58,Morgan,Laurent,morgan.laurent3690@example.com,IE,2026-01-10 16:00:11
59,Jordan,David,jordan.david6800@example.com,PT,2026-01-31 13:43:47
60,Casey,Martin,casey.martin1756@example.com,DE,2026-01-21 15:19:52
61,Logan,Dubois,logan.dubois1998@example.com,ES,2026-01-23 03:48:59
62,Charlie,David,charlie.david8280@example.com,BE,2026-01-21 17:11:20
63,Jules,David,jules.david4256@example.com,IT,2026-01-13 00:03:18
64,Morgan,Moreau,morgan.moreau7216@example.com,FR,2026-01-04 18:16:28
65,Jordan,Robert,jordan.robert2481@example.com,FR,2026-01-12 05:26:20
66,Charlie,Vincent,charlie.vincent7643@example.com,PT,2026-01-21 04:24:43
67,Alex,Fournier,alex.fournier6242@example.com,IT,
68,Finley,Vincent,finley.vincent8957@example.com,FR,2026-01-30 06:50:24
69,Emerson,Simon,emerson.simon6634@example.com,IE,2026-01-09 00:17:27
70,Emerson,Fournier,emerson.fournier9256@example.com,NL,2026-01-02 07:34:34
71,Avery,Lefevre,avery.lefevre5373@example.com,BE,2026-01-11 06:36:07
72,Finley,Moreau,finley.moreau1351@example.com,CH,2026-01-23 19:56:49
73,Jordan,Bernard,jordan.bernard518@example.com,FR,2026-01-13 00:06:21
74,Taylor,Fournier,taylor.fournier3581@example.com,FR,2026-01-23 13:48:13
75,Taylor,Richard,taylor.richard5106@example.com,ES,2026-01-06 05:56:39
76,Emerson,Lefevre,emerson.lefevre3259@example.com,FR,2026-01-04 16:32:32
77,Cameron,Morel,cameron.morel1993@example.com,PT,2026-01-28 11:21:33
78,Kai,Simon,kai.simon217@example.com,GB,2026-01-21 09:24:14
79,Hayden,Robert,hayden.robert7145@example.com,FR,2026-01-09 13:12:51
80,Logan,Bertrand,logan.bertrand7626@example.com,FR,2026-01-22 03:28:51
81,Jordan,Moreau,jordan.moreau7395@example.com,DE,2026-01-12 20:07:17
82,Jules,Simon,jules.simon2989@example.com,FR,2026-01-24 16:02:12
83,Avery,Vincent,avery.vincent176@example.com,IT,2026-01-26 01:54:51
84,Morgan,Bertrand,morgan.bertrand8051@example.com,FR,2026-01-22 18:09:40
85,Cameron,Fournier,cameron.fournier6056@example.com,CH,2026-01-23 23:23:18
86,Drew,David,drew.david4448@example.com,FR,2026-01-15 21:14:30
87,Logan,Richard,logan.richard3148@example.com,ES,2026-01-11 12:06:22
88,Quinn,Laurent,quinn.laurent1657@example.com,FR,2026-01-10 10:09:48
89,Casey,Moreau,casey.moreau755@example.com,FR,2026-01-03 15:31:38
90,Jules,Petit,jules.petit210@example.com,FR,2026-01-28 20:49:59
91,Avery,Bertrand,avery.bertrand1879@example.com,DE,2026-01-04 04:07:50
92,Casey,Fournier,casey.fournier4988@example.com,IT,2026-01-05 03:14:34
93,Quinn,Dubois,quinn.dubois8571@example.com,NL,2026-01-19 11:10:21
94,Cameron,Fournier,cameron.fournier996@example.com,IT,2026-01-30 14:16:17
95,Avery,Thomas,avery.thomas2583@example.com,FR,2026-01-12 15:27:47
96,Quinn,Bertrand,quinn.bertrand4781@example.com,IT,2026-01-02 14:01:41
97,Morgan,Moreau,morgan.moreau9673@example.com,DE,2026-01-10 14:28:33
98,Casey,Thomas,casey.thomas987@example.com,NL,2026-01-09 01:18:50
99,Hayden,Petit,hayden.petit7689@example.com,ES,2026-01-15 18:17:30
100,Jordan,Morel,jordan.morel663@example.com,FR,2026-01-21 23:20:59
101,Noah,Fournier,noah.fournier349@example.com,FR,2026-01-14 02:00:11
102,Hayden,Moreau,hayden.moreau2983@example.com,GB,2026-01-29 09:57:30
103,Finley,Simon,finley.simon5270@example.com,DE,2026-01-06 01:52:03
104,Emerson,Vincent,emerson.vincent611@example.com,FR,2026-01-23 01:54:38
105,Kai,Martin,kai.martin8899@example.com,FR,2026-01-23 10:14:29
106,Hayden,Bernard,hayden.bernard3345@example.com,PT,2026-01-13 23:08:35
107,Taylor,Martin,taylor.martin9985@example.com,FR,2026-01-12 14:48:06
108,Morgan,Petit,morgan.petit7570@example.com,GB,2026-01-06 16:51:28
109,Avery,Garcia,avery.garcia7915@example.com,PT,2026-01-23 22:10:33
110,Kai,Robert,kai.robert1153@example.com,FR,2026-01-14 09:51:05
111,Avery,Martin,avery.martin4644@example.com,DE,2026-01-15 11:50:33
112,Hayden,Vincent,hayden.vincent7945@example.com,FR,2026-01-17 18:05:54
113,Riley,Dubois,riley.dubois9378@example.com,FR,2026-01-19 14:11:36
114,Emerson,Lefevre,emerson.lefevre2502@example.com,GB,2026-01-25 01:05:58
115,Taylor,David,taylor.david1643@example.com,FR,2026-01-26 12:46:38
116,Casey,Thomas,casey.thomas7702@example.com,DE,2026-01-13 20:46:26
